"Id","$$DeveloperName$NamespacePrefix$SobjectType"
"012g8000000rPBZAA2","LSC_Marketing_Item;Product2"
"012g8000000rPBaAAM","LSC_Sample;Product2"
"012g8000000rPBbAAM","LSDO_MedTech_Order;Product2"
"012g8000000rPBcAAM","SDO_Service_Case;Case"
"012g8000000rPBdAAM","SDO_Account_Partner;Account"
"012g8000000rPBeAAM","SDO_Lead_DealRegistration;Lead"
"012g8000000rPBfAAM","SimpleOpportunity;Opportunity"
"012g8000000rPBgAAM","SDO_Lead_Default;Lead"
"012g8000000rPBhAAM","SDO_Contact;Contact"
"012g8000000rPBiAAM","SDO_Partner_Contact;Contact"
"012g8000000rPBjAAM","Lead_Partner_Application;Lead"
"012g8000000rPBkAAM","ChannelPartner;Opportunity"
"012g8000000rPBlAAM","LSDO_MedTech_Opportunity;Opportunity"
"012g8000000rPBmAAM","LSDO_Healthcare_Organization;Account"
"012g8000000rPBnAAM","LSDO_Healthcare_Provider;Account"
"012g8000000rPBoAAM","SDO_Account_Simple;Account"
"012g8000000rPBpAAM","SDO_PersonAccounts;Account"
"012g8000000rPBqAAM","PersonAccount;Account"
"012g8000000rPBrAAM","Business_Account;Account"
"012g8000000rPBsAAM","HLS_Account_HealthCareFacility;Account"
"012g8000000rPBtAAM","PMT_Project;inov8;Case"
"012g8000000rPBuAAM","Sales;Account"
"012g8000000rPBvAAM","LSDO_MedTech_Order;Order"
"012g8000000rPBwAAM","LSDO_Ph_Visit;Visit"
"012g8000000rPBxAAM","LSDO_MedTech_Visit;ProviderVisit"
"012g8000000rPByAAM","LSDO_MT_Visit;Visit"
"012g8000000rPBzAAM","LSDO_Ph_Visit;ProviderVisit"
"012g8000000rPC0AAM","Report;ProviderVisit"
"012g8000000rPC1AAM","LSDO_Adverse_Event;Inquiry"
"012g8000000rPC2AAM","LSC_General;Inquiry"
"012g8000000rPC3AAM","LSDO_Medical_Inquiry;Inquiry"
"012g8000000rPC4AAM","Health_Care_Organization;ProviderAcctTerritoryInfo"
"012g8000000rPC5AAM","Health_Care_Provider;ProviderAcctTerritoryInfo"
"012g8000000rPC6AAM","LSDO_PH_Event;Event"
"012g8000000rPC7AAM","LSDO_MedTech_Task;Task"
"012g8000000rPC8AAM","LSDO_MT_Account_Plan;AccountPlan"
"012g8000000rPC9AAM","Gap_Rule_Service;FSL;FSL__Work_Rule_Entry__c"
"012g8000000rPCAAA2","LSDO_Medical_Inquiry;Case"
"012g8000000rPCBAA2","Category;LoyaltyTierGroup"
"012g8000000rPCCAA2","SDO_Fulfillment_Orders;FulfillmentOrder"
"012g8000000rPCDAA2","SDO_Store_Pickup;FulfillmentOrder"
"012g8000000rPCEAA2","SDO_Order_Business;Order"
"012g8000000rPCFAA2","SDO_Order_Consumer;Order"
"012g8000000rPCGAA2","Partner_Led_Campaign;Campaign"
"012g8000000rPCHAA2","SDO_Marketing_ChildCampaign;Campaign"
"012g8000000rPCIAA2","Exercise;CGC_Milestone_and_Exercise__c"
"012g8000000rPCJAA2","Milestone;CGC_Milestone_and_Exercise__c"
"012g8000000rPCKAA2","SDO_Knowledge_Cirrus;Knowledge__kav"
"012g8000000rPCLAA2","SDO_Knowledge_FAQ;Knowledge__kav"
"012g8000000rPCMAA2","SDO_Knowledge_KCSArticle;Knowledge__kav"
"012g8000000rPCNAA2","Break;FSL;ResourceAbsence"
"012g8000000rPCOAA2","Non_Availability;FSL;ResourceAbsence"
"012g8000000rPCQAA2","LSDO_MT_Event;Event"
"012g8000000rPCRAA2","SDO_SFS_Case;Case"
"012g8000000rPCXAA2","LSDO_TerritoryProdtQtyAllocation;TerritoryProdtQtyAllocation"
"012g8000000rPCYAA2","LSDO_TimePeriod;TimePeriod"
"012g8000000rPCiAAM","Product_Feedback;ProviderVisitProdDiscussion"
"012g8000000rPCjAAM","Patient_Tracking;ProviderVisitProdDiscussion"
"012g8000000rPCkAAM","CC_Calendar_Event;cccalendar;Event"
"012g8000000rPClAAM","Objective_Minimize_Gaps;FSL;FSL__Service_Goal__c"
"012g8000000rPCmAAM","Objective_Minimize_Travel;FSL;FSL__Service_Goal__c"
"012g8000000rPCnAAM","Objective_Asap;FSL;FSL__Service_Goal__c"
"012g8000000rPCoAAM","Objective_PreferredEngineer;FSL;FSL__Service_Goal__c"
"012g8000000rPCpAAM","Objective_Resource_Priority;FSL;FSL__Service_Goal__c"
"012g8000000rPCqAAM","Objective_Minimize_Overtime;FSL;FSL__Service_Goal__c"
"012g8000000rPCrAAM","Objective_Custom_Logic;FSL;FSL__Service_Goal__c"
"012g8000000rPCsAAM","Time_Rule_Service;FSL;FSL__Work_Rule__c"
"012g8000000rPCtAAM","TimeSlot_Designated_Work;FSL;FSL__Work_Rule__c"
"012g8000000rPCuAAM","Match_Location_Service;FSL;FSL__Work_Rule__c"
